,Np,Nt,Kp,Kt,lp,Rg,E2E,zd,lb,sd_lp,sd_Rg,sd_zd
78,8.0,128.0,0.25,16.0,0.8722401836138605,1.3169369560246507,3.106337561827557,75.19653727272727,0.95919672601111,0.0798775868063665,0.011456057806080154,4.649956125269239
79,8.0,128.0,0.25,64.0,0.7196922154493767,1.3119879472393985,3.315157117584842,81.44648000000001,0.9619727875450276,0.06587663614261313,0.02601434908381584,8.2243453490177
80,8.0,128.0,1.0,0.25,0.9440859801464601,1.3524633210229071,2.847676698473584,40.28204545454546,0.9570841917372915,0.10119765234133792,0.04096720822146002,6.730555817026978
81,8.0,128.0,1.0,1.0,0.9876150665165861,1.418102797049109,3.3362725986450585,46.02228909090909,0.9499884787784504,0.03250868512942472,0.03339461231863305,4.686562979927449
82,8.0,128.0,1.0,4.0,0.8404928593051293,1.312890055132681,3.154896332427836,56.38361716363636,0.9548867506248301,0.11211334651218725,0.025171107392172713,8.358112888447035
83,8.0,128.0,1.0,16.0,0.8027393364997422,1.3504280170888043,3.2307542264007725,78.54502727272728,0.9600147032631436,0.07519823909466312,0.015034319431874004,2.693009228317206
84,8.0,128.0,1.0,64.0,0.7706233908596726,1.2851661926431328,3.0597178868226553,101.79807272727273,0.9542173582020224,0.055141908003245546,0.01259690312602575,5.385135055804654
85,8.0,128.0,4.0,0.25,1.9611055117365042,1.6298041039151963,4.254127969951707,27.770890909090916,0.9577609284065368,0.0668107410050056,0.03480801288221081,5.443114656894449
86,8.0,128.0,4.0,1.0,1.9792810250461343,1.6345256960500385,4.345443567571892,45.503645454545456,0.9499114002995065,0.1015625653770042,0.04548698170027199,4.58604092979468
87,8.0,128.0,4.0,4.0,1.903213773967759,1.617535596075689,4.322415149930956,52.82053727272728,0.9511443192020874,0.05925026137594672,0.03238198824977878,8.560164538503697
88,8.0,128.0,4.0,16.0,1.257408285327208,1.432174310662126,3.5383611151524534,84.92305454545455,0.9519896530122124,0.13720841196498357,0.013393816909944628,6.708245344941838
89,8.0,128.0,4.0,64.0,1.2460245767079632,1.4107146825708419,3.650766264311524,93.46537272727274,0.9611310104057793,0.08312495221743553,0.02573772783840935,6.2220971263116915
90,8.0,128.0,16.0,0.25,6.887112661679791,1.9903885607768856,5.79043282972052,32.35518181818182,0.9581092039536752,0.2857497522104204,0.010516185633177515,5.558999679605248
91,8.0,128.0,16.0,1.0,5.416743074368471,1.91383558045725,5.505919271654329,37.37835454545455,0.9424579026831255,0.17738425852857037,0.01079748097840349,4.723068181973478
92,8.0,128.0,16.0,4.0,5.764509639295,1.9330103277835802,5.534416757167841,49.28762181818181,0.9506689469626926,0.21700689517557695,0.01773000974916328,5.728621035855945
93,8.0,128.0,16.0,16.0,3.8092932333104894,1.8302908225054713,5.174092785856456,75.07948,0.9536360833654516,0.18425542827798652,0.015827103843462396,11.29889314561306
94,8.0,128.0,16.0,64.0,1.8125356347798012,1.5601842130162853,4.081805596947273,107.07799090909093,0.9570264131935713,0.2513607846008908,0.005056567285308765,1.7549585700650117
95,8.0,128.0,64.0,0.25,34.14301791948189,2.1415378016471855,6.475824389671629,37.6984,0.9546367792261876,0.8762423882810891,0.0010168475131123766,2.2937198695568726
96,8.0,128.0,64.0,1.0,33.29618725541776,2.1467913411026283,6.49221343798576,35.80514545454545,0.9567541252369989,0.8364709034623391,0.0003128693085207181,2.690942088956153
97,8.0,128.0,64.0,4.0,24.085876025951073,2.1437997235269686,6.438355835629903,54.91115781818182,0.9610436080270989,0.5516931222719561,0.0023400909793007967,7.653995133115322
98,8.0,128.0,64.0,16.0,22.06833229062801,2.106966933535499,6.341767676590667,80.8812,0.9497428984757602,0.2748487266329915,0.006007047471390393,4.437492473745218
99,8.0,128.0,64.0,64.0,5.782316988385068,1.9420985315158164,5.5984085848260134,93.39470909090909,0.9549049133453114,0.5977487290698275,0.006460334653007837,6.418188875723649
100,32.0,8.0,0.25,0.25,1.1567875150851559,3.5073140579650084,8.985980092465265,5.155316363636364,0.9527072752103276,0.07079782440021046,0.8396743626858876,1.9370723860894858
101,32.0,8.0,0.25,1.0,1.166557338631717,3.4195024531801974,8.436946198990434,5.734025454545455,0.9543207367759179,0.07634617264440677,0.42854330668682333,1.3256096317088748
102,32.0,8.0,0.25,4.0,1.0949921394159248,3.499522525323003,7.984315065968601,5.769524545454545,0.9560509503690588,0.05316256156236965,0.3196098880979499,1.4102694377920297
103,32.0,8.0,0.25,16.0,1.1204464907364682,3.512043113649455,7.924621944561912,6.480568181818183,0.9526744703896958,0.0852834031985449,0.24633713010118638,1.3485411965313292
104,32.0,8.0,0.25,64.0,1.1127337560226735,3.8048640226662034,10.157017383283302,8.195926363636364,0.9577798272313531,0.09628299682046786,0.29020097609127177,1.1316322871070534
105,32.0,8.0,1.0,0.25,1.2855697511465034,3.698238455744209,9.883337512333359,5.230340909090909,0.95347938799465,0.07138881767986231,0.5184140328111261,0.8606560716786672
106,32.0,8.0,1.0,1.0,1.2487566035516975,3.4231805698568154,6.654261090314917,5.8909436363636365,0.9540335557477805,0.08485314329834448,0.41812346285637025,1.1158147112334373
107,32.0,8.0,1.0,4.0,1.2235461679079134,3.5017518609213782,8.18352345922702,5.638577272727274,0.9524508871998475,0.056210001148413805,0.5260537789794129,1.3125034102472815
108,32.0,8.0,1.0,16.0,1.1909703910525669,3.542152842725248,8.30203814224396,7.081446363636363,0.9516727238794589,0.04667964130931441,0.13382316098765326,1.6536193793850162
109,32.0,8.0,1.0,64.0,1.0757222736668686,3.361300454172465,8.267763062216664,7.67198,0.9573214569256554,0.05110678881854976,0.24103857455316496,1.8587056764025092
110,32.0,8.0,4.0,0.25,2.065463227341583,4.138149405867342,10.465663210294757,4.875904545454546,0.9543977574631521,0.04916307212711575,0.7468542697639221,1.5491914750625926
111,32.0,8.0,4.0,1.0,2.1336897005274635,4.317100960930211,10.3256768596042,6.289120909090908,0.9512709717326937,0.08622976952679583,0.99124318890138,1.545970008543942
112,32.0,8.0,4.0,4.0,2.4319945314012457,4.475787311944054,11.171165324310355,6.455404545454545,0.9512473707030865,0.07578303725592468,0.3628455877810465,1.3199812336363217
113,32.0,8.0,4.0,16.0,1.7724707431681985,3.8297039376091075,8.532222820024746,6.572163636363635,0.9531330185201488,0.060928936889464665,0.28075510714538104,1.9918280697675816
114,32.0,8.0,4.0,64.0,2.06460266001176,4.101182430695554,11.137686106393078,9.278464545454545,0.9574897824494212,0.0928337628175085,0.5693416393885112,1.427227460825318
115,32.0,8.0,16.0,0.25,7.067200474926541,6.171287380880398,16.227851884250807,5.493543636363635,0.9526605878545362,0.2495979929083212,0.8087375048489825,1.2378223818484455
116,32.0,8.0,16.0,1.0,5.60191277523922,5.6407113876510495,13.859588494629225,5.801629999999999,0.9516299373252977,0.35567617120128064,0.7630638779194849,1.9498082928702125
117,32.0,8.0,16.0,4.0,5.723377986823891,5.72082756027443,13.692135988850595,5.939872727272728,0.9511419875084667,0.45911482798816644,0.736310582089316,1.1520095593912953
118,32.0,8.0,16.0,16.0,5.683474885961645,5.801497344049016,15.693838135248303,8.60748727272727,0.9590199487994157,0.0956461244516921,1.093339130177753,2.574237566235843
